"Band","sample1","sample2","sample3","sample4","sample5"
"420",1.50705302363965,1.60445099386046,1.69212127418717,1.65127347738414,1.81607410011658
"422",1.48501860898719,1.58439644981853,1.67601150786325,1.64308664733946,1.80307832172904
"424",1.46156766159088,1.55760455506684,1.64497297997875,1.61885231437685,1.77153853293536
"426",1.42804508136999,1.52237540028705,1.6042491645452,1.58970762912181,1.73811162010154
"428",1.39789401318968,1.49221845767483,1.57312580758726,1.56817354007426,1.71200839372343
"430",1.36953764690467,1.46477149882987,1.54917408684294,1.55078609097534,1.68842295168119
"432",1.33384116072205,1.43062747090606,1.5200266947993,1.52809430172552,1.65931077552934
"434",1.28410854546452,1.38269403745114,1.47546060315106,1.49275993368575,1.61865808069674
"436",1.22216651440922,1.32179049956356,1.41454708212125,1.44395416453132,1.56523314448803
"438",1.15766634999348,1.25604761099028,1.34509416867406,1.38685821564689,1.50225226924702
"440",1.10160324627866,1.19506109687673,1.27717976355257,1.32828077589593,1.43420863812586
"442",1.06052923687466,1.1447993641471,1.21738624532947,1.27294472660837,1.36461809250008
"444",1.03366804100545,1.10513420750801,1.1661025207611,1.22177277608785,1.29509769019914
"446",1.01419310668105,1.07098541282444,1.11850665184908,1.17275131898345,1.22616493046671
"448",0.992413459348065,1.03523543356785,1.06924117740885,1.12285894698068,1.15780968363826
"450",0.96261003641473,0.994602078637516,1.01681017607126,1.07231186584287,1.09324611452335
"452",0.9340762455891,0.958856458813405,0.973314158551565,1.03099020405282,1.0418928600247
"454",0.908910996200863,0.930241617877646,0.941470574641615,1.00085351751532,1.00592390637026
"456",0.889494477895411,0.909563559101557,0.919431722663292,0.980263566697532,0.982936809886446
"458",0.874635876389591,0.894605873281327,0.903711851032452,0.966780211918017,0.968837305172677
"460",0.867170222035546,0.886316505909801,0.893292088338714,0.959203677904995,0.960175689227879
"462",0.858190437439695,0.876499136404822,0.8814803898074,0.950514084459259,0.950016437216034
"464",0.852580375680045,0.868484547696046,0.870578218809407,0.941277862051235,0.937262947093349
"466",0.844517456795151,0.856876035921142,0.855384680533485,0.926591127937592,0.917689564284619
"468",0.838493040255208,0.845934058192233,0.841334863254828,0.909880418654479,0.893793666983871
"470",0.830207357330511,0.832404753680461,0.825462421647323,0.889944402790495,0.865664796390114
"472",0.821967719027735,0.817938895870614,0.807382225177042,0.867502065828057,0.834306980569855
"474",0.81464396515719,0.803154609275125,0.786992993651447,0.843202350471706,0.800199513262984
"476",0.809111721748769,0.788954301909894,0.765440831449196,0.817353492021366,0.763909367042847
"478",0.804520933733706,0.7749065047295,0.743147293984955,0.789726417624153,0.725578274876013
"480",0.798619581750454,0.759984570751151,0.720941629503715,0.760735727755952,0.686644272793865
"482",0.789059999518172,0.742329209027408,0.696918162950823,0.729281018686505,0.646858619295268
"484",0.775326144377117,0.721440257226013,0.670929811878886,0.695236490049865,0.605660101518144
"486",0.755458731817296,0.694981068579256,0.640054580508568,0.656544625415503,0.560246698532241
"488",0.729975436452647,0.662900851653027,0.603446023478209,0.612344753082912,0.509322565302019
"490",0.705021547630919,0.629725376747021,0.564122791773793,0.564037261504526,0.453008046933445
"492",0.679548899683576,0.594613406172218,0.52129596502076,0.510804917937857,0.390976587496632
"494",0.652727417939731,0.557167976752056,0.476108110670985,0.452612967828366,0.323019820598467
"496",0.615137568174086,0.510174292651177,0.422658709367197,0.386289716790838,0.248358626787462
"498",0.570302487468538,0.456810667337707,0.362730576723511,0.314492374971283,0.170049844909429
"500",0.515801569386247,0.395487106686096,0.294998590620576,0.237189730048343,0.0891048471669695
"502",0.455086126608023,0.329171563508956,0.222496978525029,0.156784024592448,0.00695596659203421
"504",0.390168019070097,0.259780675893982,0.147986273518756,0.0752752976607742,-0.0752936443444324
"506",0.310447295595205,0.17910297721386,0.065601170418673,-0.0116405048871326,-0.15972118458042
"508",0.216991644788312,0.0884831450739677,-0.0235845297059447,-0.1021106638593,-0.243865118300075
"510",0.109680313912602,-0.0115524656969865,-0.118280413938044,-0.194431533616961,-0.325581354061555
"512",0.00937708826939939,-0.103406418725947,-0.202748880729971,-0.276619145237757,-0.396720901682471
"514",-0.0765508504573474,-0.180852583884683,-0.272095750782953,-0.343909027008324,-0.453679842107134
"516",-0.136563760003089,-0.235056401863038,-0.320437490940484,-0.391998109384646,-0.494405135933226
"518",-0.171610109830704,-0.267444346779191,-0.350119714678782,-0.422889458001706,-0.521152343356902
"520",-0.188229787498618,-0.283850973277226,-0.366030153255372,-0.441274543725625,-0.538128366805651
"522",-0.199544782209232,-0.295510354075194,-0.377645388242734,-0.455211701272687,-0.551615787899305
"524",-0.215426823509559,-0.310746514941854,-0.391735199964352,-0.470599879415103,-0.566029694748
"526",-0.239346167191741,-0.332697178894421,-0.411477453187418,-0.490231141827288,-0.583472310243974
"528",-0.270637262420606,-0.360854019759315,-0.436680348632471,-0.514103501626467,-0.603822313764208
"530",-0.304287217402609,-0.390903952327182,-0.463291894960492,-0.539167105711818,-0.624911837234323
"532",-0.340677037011826,-0.422816220215689,-0.490295834860279,-0.564583431540528,-0.646010779637423
"534",-0.376115368330557,-0.453580625717638,-0.515808226794866,-0.588824730540632,-0.665679616076106
"536",-0.414545578337454,-0.486499240594305,-0.543902473870684,-0.613799090292476,-0.684447174629554
"538",-0.449336705643119,-0.516485395648687,-0.569780555511223,-0.636910918056965,-0.702047585115537
"540",-0.487295267923355,-0.548836200067043,-0.59644928846553,-0.660816958833577,-0.720405287072761
"542",-0.523990831421442,-0.580155781264235,-0.621468837899194,-0.684022228702422,-0.738905831139141
"544",-0.562723089360862,-0.613275392024356,-0.646880144854263,-0.708923008644287,-0.759540961612798
"546",-0.602003774975387,-0.647012177588799,-0.672973171249338,-0.734834638539032,-0.781082355109102
"548",-0.640833999390956,-0.680733522445419,-0.701170630047494,-0.76165459163754,-0.802612049953866
"550",-0.681289319490746,-0.715819745392023,-0.732500205771344,-0.789137508699216,-0.82329953170279
"552",-0.723266664596015,-0.751634289935018,-0.76465021530357,-0.815516179552411,-0.841850766394166
"554",-0.760427776732282,-0.783247564653825,-0.792695486092512,-0.838578372453453,-0.85809138374073
"556",-0.791405303465726,-0.809817982632992,-0.816258128931004,-0.858860646941548,-0.872770806907204
"558",-0.819887672806549,-0.834058951864853,-0.836818630706322,-0.877315231113624,-0.886227683905627
"560",-0.849667456224416,-0.859053925003319,-0.857805690839448,-0.895908413542167,-0.89900446620546
"562",-0.882461432387964,-0.88649687331059,-0.882041896401919,-0.91599902660305,-0.911805737165965
"564",-0.912571135861894,-0.911910974416663,-0.904968181286512,-0.934689067355782,-0.924034034747467
"566",-0.944347023722429,-0.939034760974439,-0.929675716277132,-0.954208276472011,-0.937689672870234
"568",-0.97689661448601,-0.966639274325382,-0.953131758026271,-0.973184382465441,-0.951881123806648
"570",-1.0151456673619,-0.998772784748894,-0.979626897999416,-0.994857366168341,-0.967868504617223
"572",-1.05343931656991,-1.03081730939834,-1.00568337203568,-1.01742586754599,-0.984050671771797
"574",-1.10195444755032,-1.07078747365362,-1.03754241855811,-1.04396943719223,-1.00209228428261
"576",-1.16088493141308,-1.11890603469552,-1.07535665134796,-1.07370526856746,-1.02194655642325
"578",-1.227830493602,-1.17342656265231,-1.11859212207457,-1.10590121742535,-1.04312137101324
"580",-1.29719399990522,-1.23024289118033,-1.16512191054698,-1.14017416724119,-1.06547996238872
"582",-1.35981630857412,-1.28204264498831,-1.20754866286383,-1.17271248740433,-1.08798401371719
"584",-1.41487287845191,-1.32825405785095,-1.24756111602604,-1.20437010802978,-1.10968557792021
"586",-1.46389528298429,-1.36973149873066,-1.2854215307581,-1.23480842988903,-1.12961468002797
"588",-1.51127526689623,-1.40940558403428,-1.32181322125923,-1.2636647408586,-1.14716899879319
"590",-1.5620278227808,-1.45083925149553,-1.35790086210967,-1.29098094550785,-1.16241964507449
"592",-1.61865705084908,-1.4961209522985,-1.3953817326581,-1.31761987433632,-1.17616122451657
"594",-1.67913879497626,-1.54443789288305,-1.43622762691302,-1.34533742882952,-1.18979494164958
"596",-1.73487476204681,-1.59013465822212,-1.47956309791223,-1.37460770603151,-1.20440401948511
"598",-1.77226404136986,-1.62302847491099,-1.51734391601643,-1.40132209095062,-1.21963570738655
"600",-1.780501148894,-1.63371532495709,-1.53460260176077,-1.41632801685171,-1.23379107224819
"602",-1.7652343818217,-1.62399694009815,-1.52128336348444,-1.41188513603712,-1.2432296168315
"604",-1.77822102185488,-1.63504012684876,-1.52875019669228,-1.41855572508476,-1.24999192502763
